Expense_ID,Date,Department,Expense_Type,Vendor,Budget,Actual_Expense,Payment_Mode
EXP121109,1/25/2025,Administration,Marketing Campaign,Bright Media,136285,117188,Bank Transfer
EXP123560,7/29/2024,Finance,Office Supplies,Star Traders,67640,47646,Credit Card
EXP113788,3/22/2025,Administration,Utilities,Bright Media,201823,186270,UPI
EXP115952,12/10/2024,Administration,Travel,ABC Pvt Ltd,130725,108655,UPI
EXP104400,4/2/2025,HR,Utilities,Tech Solutions,96764,132452,Cash
EXP112639,6/5/2025,HR,Consulting,Quick Supplies,291118,404881,UPI
EXP100512,1/1/2025,IT,Office Supplies,Quick Supplies,167909,129154,Bank Transfer
EXP123160,11/27/2024,Operation,Consulting,Tech Solutions,85814,99244,Cash
EXP103964,3/21/2025,Sales,Salary,Quick Supplies,292459,149057,UPI
EXP106422,2/18/2024,Administration,Consulting,Quick Supplies,245661,172678,Credit Card
EXP100230,6/26/2024,IT,Travel,Tech Solutions,140410,104958,Credit Card
EXP110342,3/16/2024,Operation,Consulting,Global Systems,247443,263119,UPI
EXP119780,8/30/2024,IT,Travel,Global Systems,288799,342506,Cash
EXP108977,8/19/2024,Sales,Software,Data Corp,296363,368672,Credit Card
EXP107861,3/14/2025,Finance,Marketing Campaign,ABC Pvt Ltd,163330,201450,Bank Transfer
EXP107763,5/13/2025,Administration,Marketing Campaign,Urban Services,297950,424453,UPI
EXP121179,4/11/2025,Sales,Training,Global Systems,264948,202030,Bank Transfer
EXP118357,2/7/2025,Administration,Travel,Star Traders,247178,261666,Cash
EXP121608,2/16/2025,Operation,Marketing Campaign,Global Systems,106332,90372,Credit Card
EXP111740,3/3/2024,IT,Marketing Campaign,Quick Supplies,241295,189209,Cash
EXP100341,6/18/2024,IT,Training,Bright Media,296010,289494,Bank Transfer
EXP105070,9/3/2024,Operation,Maintenance,Tech Solutions,120185,61776,Credit Card
EXP101923,9/21/2024,Marketing,Maintenance,Data Corp,76805,74853,Bank Transfer
EXP119434,8/18/2024,IT,Internet,Star Traders,262516,312516,Bank Transfer
EXP119647,4/14/2024,Sales,Marketing Campaign,Prime Vendors,276735,395287,Credit Card
EXP124681,4/21/2024,Finance,Consulting,Tech Solutions,115901,109128,Credit Card
EXP105071,7/20/2024,IT,Software,CloudNet,283693,376121,UPI
EXP120002,1/25/2024,HR,Software,Prime Vendors,174417,185076,Credit Card
EXP109282,11/14/2024,Administration,Maintenance,Prime Vendors,218555,236853,Bank Transfer
EXP112795,8/25/2024,Administration,Marketing Campaign,CloudNet,181822,253984,Bank Transfer
EXP115365,3/27/2024,HR,Internet,Data Corp,63225,77165,UPI
EXP116089,1/8/2025,Operation,Office Supplies,Bright Media,237121,140757,Credit Card
EXP119437,6/5/2024,Finance,Marketing Campaign,Data Corp,217869,140869,Bank Transfer
EXP123468,11/1/2024,Finance,Training,Bright Media,168825,97373,Bank Transfer
EXP117829,6/6/2024,Finance,Office Supplies,Tech Solutions,161193,235429,UPI
EXP122515,12/2/2024,IT,Travel,CloudNet,164979,207054,UPI
EXP119378,2/17/2025,IT,Salary,Global Systems,183078,116342,Credit Card
EXP112068,7/31/2024,HR,Training,Data Corp,105728,158486,Cash
EXP108874,12/3/2024,Marketing,Office Supplies,Star Traders,269658,278180,Bank Transfer
EXP107827,3/25/2025,Sales,Marketing Campaign,CloudNet,208044,249786,Bank Transfer
EXP114652,1/7/2024,Finance,Training,Data Corp,52306,47540,Cash
EXP117896,5/29/2024,Sales,Maintenance,Tech Solutions,164776,147833,Cash
EXP111165,11/21/2024,IT,Travel,Tech Solutions,281166,284266,UPI
EXP124935,4/12/2024,Sales,Salary,Tech Solutions,287386,218488,Credit Card
EXP107615,4/19/2024,IT,Internet,Data Corp,161614,152388,Bank Transfer
EXP124956,4/1/2025,Marketing,Internet,Data Corp,182061,219854,UPI
EXP121790,3/12/2024,HR,Utilities,ABC Pvt Ltd,228536,327476,UPI
EXP120264,10/19/2024,IT,Maintenance,Bright Media,49296,42006,Cash
EXP119260,3/18/2024,Sales,Office Supplies,Quick Supplies,225162,322394,Credit Card
EXP119422,8/17/2024,Administration,Training,Tech Solutions,95207,54703,UPI
EXP111548,6/24/2024,Finance,Internet,Bright Media,290665,386994,Credit Card
EXP118208,3/2/2024,Administration,Travel,Bright Media,166609,94529,Credit Card
EXP108476,4/23/2024,Administration,Consulting,Global Systems,78944,60285,Bank Transfer
EXP103455,6/24/2024,Finance,Consulting,Prime Vendors,212988,132515,UPI
EXP123436,5/11/2025,HR,Travel,Quick Supplies,272719,213925,UPI
EXP103256,3/12/2025,Finance,Internet,Quick Supplies,280007,307891,Bank Transfer
EXP121286,6/29/2024,HR,Marketing Campaign,Global Systems,102393,99078,Cash
EXP107613,1/20/2024,Marketing,Travel,Data Corp,225247,178629,Cash
EXP116004,9/30/2024,Marketing,Internet,Global Systems,87582,48185,Bank Transfer
EXP113943,5/7/2025,IT,Utilities,Quick Supplies,165873,163978,Bank Transfer
EXP113441,4/8/2024,IT,Software,CloudNet,157283,224579,Credit Card
EXP100312,2/25/2025,Finance,Salary,Bright Media,294205,299272,UPI
EXP114349,1/20/2024,Sales,Consulting,ABC Pvt Ltd,240239,206981,UPI
EXP120900,4/29/2024,Marketing,Training,Global Systems,38403,22919,Bank Transfer
EXP111890,2/18/2024,Marketing,Software,Quick Supplies,146451,206200,Bank Transfer
EXP116056,1/29/2024,Finance,Internet,Prime Vendors,31943,30985,Cash
EXP113190,9/13/2024,Finance,Maintenance,Prime Vendors,147970,187259,Cash
EXP112753,9/7/2024,IT,Salary,ABC Pvt Ltd,27335,32954,Bank Transfer
EXP109313,7/19/2024,IT,Office Supplies,ABC Pvt Ltd,202918,264068,Bank Transfer
EXP109237,11/14/2024,Administration,Travel,Global Systems,199262,194297,Credit Card
EXP104194,6/9/2024,HR,Utilities,Urban Services,280525,411355,UPI
EXP113189,1/7/2024,IT,Maintenance,Star Traders,116096,170577,Bank Transfer
EXP117229,4/9/2024,Sales,Office Supplies,Bright Media,174773,182790,Cash
EXP123215,1/25/2024,IT,Marketing Campaign,Bright Media,189366,258829,Credit Card
EXP115800,2/22/2024,Finance,Internet,Urban Services,256054,198738,Cash
EXP116116,6/24/2024,IT,Consulting,Tech Solutions,255402,138236,Cash
EXP110212,2/8/2024,Marketing,Consulting,Star Traders,265654,221115,Cash
EXP101569,3/6/2024,Finance,Internet,Tech Solutions,57181,36945,UPI
EXP121132,7/9/2024,Marketing,Travel,Bright Media,206997,220641,UPI
EXP113291,4/26/2025,HR,Salary,Global Systems,280937,251690,Bank Transfer
EXP122333,3/12/2025,Operation,Travel,Global Systems,109405,93179,Cash
EXP123971,1/15/2025,Marketing,Office Supplies,Urban Services,162227,128073,Credit Card
EXP109889,4/19/2024,Finance,Marketing Campaign,Global Systems,159879,184196,Credit Card
EXP121533,5/2/2024,Sales,Consulting,Star Traders,169141,184786,UPI
EXP112898,3/23/2025,Administration,Software,Global Systems,208992,235966,Bank Transfer
EXP118865,3/19/2024,IT,Salary,Prime Vendors,259559,351905,UPI
EXP103639,3/16/2025,Operation,Maintenance,ABC Pvt Ltd,273574,328112,Cash
EXP121441,3/6/2025,HR,Consulting,Data Corp,67892,72762,Credit Card
EXP105925,1/26/2024,IT,Salary,ABC Pvt Ltd,221054,328461,Credit Card
EXP112568,12/3/2024,Operation,Consulting,Global Systems,173276,111944,Bank Transfer
EXP122173,11/6/2024,IT,Maintenance,CloudNet,113293,67494,UPI
EXP110624,9/28/2024,Finance,Marketing Campaign,Quick Supplies,297471,300020,Cash
EXP120735,1/28/2025,Operation,Marketing Campaign,Prime Vendors,175187,257402,Credit Card
EXP102583,12/14/2024,Marketing,Training,ABC Pvt Ltd,198396,224609,Bank Transfer
EXP120293,2/1/2024,Marketing,Consulting,Urban Services,146945,176365,Credit Card
EXP106517,4/7/2025,Finance,Internet,Bright Media,146883,90988,Credit Card
EXP108665,6/14/2024,Marketing,Utilities,Tech Solutions,169174,132518,Cash
EXP115199,12/2/2024,Marketing,Consulting,Data Corp,280529,144585,UPI
EXP116734,9/1/2024,IT,Internet,Bright Media,265162,284822,Credit Card
EXP117507,2/21/2024,Finance,Consulting,Global Systems,142353,88804,UPI
EXP105076,1/13/2025,Administration,Internet,Urban Services,159097,230637,UPI
EXP123185,7/28/2024,IT,Training,Star Traders,112770,87040,Bank Transfer
EXP113208,7/30/2024,Sales,Utilities,Data Corp,148227,170788,Cash
EXP109997,10/2/2024,Operation,Software,Data Corp,120465,103944,Credit Card
EXP103589,2/21/2025,HR,Internet,ABC Pvt Ltd,144268,135745,UPI
EXP103509,10/30/2024,Sales,Training,Star Traders,51219,76555,Credit Card
EXP112606,10/16/2024,Sales,Travel,Urban Services,276761,407218,Cash
EXP109149,3/20/2024,Operation,Travel,ABC Pvt Ltd,219318,180599,UPI
EXP106648,1/28/2025,HR,Office Supplies,Global Systems,169401,156087,Cash
EXP112438,11/12/2024,IT,Office Supplies,Global Systems,97180,99667,Bank Transfer
EXP114727,9/20/2024,Administration,Consulting,Global Systems,158504,132017,Credit Card
EXP121308,3/12/2025,IT,Office Supplies,Global Systems,98237,63753,Cash
EXP101346,11/8/2024,Operation,Internet,Global Systems,110060,148840,Credit Card
EXP117550,8/18/2024,Finance,Internet,Global Systems,251237,187739,Credit Card
EXP102662,12/1/2024,Operation,Software,Tech Solutions,293025,309330,Credit Card
EXP121262,10/15/2024,Finance,Marketing Campaign,Star Traders,201795,231869,Credit Card
EXP102905,6/4/2024,Finance,Salary,Quick Supplies,113152,114553,Bank Transfer
EXP113462,2/17/2025,Sales,Office Supplies,Bright Media,262672,345809,Cash
EXP109362,3/15/2025,Administration,Maintenance,Prime Vendors,190901,129049,UPI
EXP111129,10/1/2024,Marketing,Marketing Campaign,Tech Solutions,85981,58345,Cash
EXP108796,4/30/2024,IT,Software,Star Traders,199334,198105,Cash
EXP113713,11/16/2024,Sales,Consulting,Global Systems,176550,257163,Cash
EXP122145,3/15/2025,Operation,Office Supplies,CloudNet,228242,302152,Cash
EXP100971,9/18/2024,Sales,Utilities,ABC Pvt Ltd,204610,226333,UPI
EXP121267,7/20/2024,Administration,Utilities,Prime Vendors,132979,175641,Bank Transfer
EXP102275,3/14/2025,Finance,Utilities,Bright Media,32133,34692,Bank Transfer
EXP118310,4/13/2024,Administration,Software,CloudNet,246829,280535,Cash
EXP107732,11/19/2024,Operation,Internet,Prime Vendors,154701,130460,Cash
EXP124874,1/8/2024,Sales,Maintenance,Urban Services,197189,278749,Cash
EXP116272,10/29/2024,Marketing,Utilities,Bright Media,105358,86999,UPI
EXP107571,5/14/2025,Administration,Consulting,ABC Pvt Ltd,147841,179153,Cash
EXP103931,12/11/2024,Administration,Training,Prime Vendors,281985,252625,Credit Card
EXP124049,7/2/2024,Administration,Maintenance,Quick Supplies,98345,113864,Credit Card
EXP123149,3/30/2025,Sales,Software,Star Traders,113326,120797,Bank Transfer
EXP108939,4/10/2025,Sales,Travel,Prime Vendors,133466,183450,UPI
EXP105554,11/11/2024,Marketing,Maintenance,Star Traders,20103,23000,Credit Card
EXP102870,2/14/2024,HR,Marketing Campaign,Prime Vendors,291892,202158,UPI
EXP108268,2/21/2024,Operation,Consulting,Urban Services,65004,44935,Credit Card
EXP105598,9/19/2024,Sales,Internet,Global Systems,264844,271717,Cash
EXP107136,9/15/2024,IT,Office Supplies,Prime Vendors,192502,272589,Credit Card
EXP101202,8/15/2024,HR,Maintenance,CloudNet,80511,96055,UPI
EXP118560,10/7/2024,Sales,Salary,Bright Media,97490,138950,Bank Transfer
EXP122344,12/17/2024,HR,Consulting,Quick Supplies,128121,106879,Credit Card
EXP124349,3/29/2024,Administration,Salary,Tech Solutions,163139,102041,Cash
EXP120614,3/24/2024,IT,Marketing Campaign,Urban Services,152755,117083,Credit Card
EXP118704,6/30/2024,Marketing,Consulting,Global Systems,204937,261227,Cash
EXP122241,9/7/2024,Administration,Travel,Data Corp,270927,339267,UPI
EXP104375,10/4/2025,Operation,Training,Star Traders,63246,48386,UPI
EXP111315,8/15/2024,HR,Software,Prime Vendors,240564,250526,Credit Card
EXP119672,4/24/2025,Marketing,Software,Prime Vendors,118397,119710,UPI
EXP117756,8/8/2024,IT,Consulting,CloudNet,240592,212416,Credit Card
EXP120202,4/24/2024,Operation,Internet,Prime Vendors,87971,93854,UPI
EXP110430,11/23/2024,Operation,Training,Prime Vendors,181644,123692,UPI
EXP105553,5/8/2024,HR,Office Supplies,Quick Supplies,273707,195132,Credit Card
EXP122496,1/23/2024,Administration,Maintenance,Data Corp,96056,125115,UPI
EXP112389,10/7/2024,Marketing,Maintenance,Prime Vendors,275060,158488,Credit Card
EXP103096,1/10/2024,Operation,Consulting,Star Traders,187529,215702,Credit Card
EXP109448,3/31/2025,Operation,Training,CloudNet,184623,196940,Bank Transfer
EXP108443,7/25/2024,HR,Salary,Data Corp,188617,198659,Bank Transfer
EXP123269,10/10/2024,Marketing,Salary,Tech Solutions,146522,133408,Cash
EXP117562,4/14/2024,Administration,Software,ABC Pvt Ltd,292758,393851,Credit Card
EXP124288,4/2/2025,Finance,Training,Quick Supplies,83349,77675,UPI
EXP116620,12/5/2024,Operation,Internet,Global Systems,276676,161165,Cash
EXP105219,12/2/2024,HR,Utilities,Bright Media,207597,166995,Cash
EXP123565,5/2/2024,Administration,Utilities,Data Corp,195297,172924,Bank Transfer
EXP116026,10/6/2024,Sales,Maintenance,Star Traders,228726,244183,Credit Card
EXP122093,1/14/2025,Administration,Internet,Prime Vendors,212588,298597,UPI
EXP119907,6/17/2024,Marketing,Internet,Global Systems,22442,18880,UPI
EXP102449,5/12/2025,Administration,Maintenance,Urban Services,165952,195768,Bank Transfer
EXP110828,2/26/2024,Administration,Salary,Prime Vendors,254512,342250,Bank Transfer
EXP114928,3/30/2024,Marketing,Software,Prime Vendors,265388,273430,UPI
EXP110319,2/10/2024,Sales,Marketing Campaign,Bright Media,52354,29580,Cash
EXP117476,1/10/2024,HR,Training,Quick Supplies,225122,309828,UPI
EXP108542,10/26/2024,Administration,Travel,Star Traders,281970,293977,Bank Transfer
EXP116628,7/22/2024,Operation,Software,Prime Vendors,177928,164832,Cash
EXP107882,10/21/2024,IT,Internet,Star Traders,158670,235438,Cash
EXP106624,3/31/2024,Administration,Software,Data Corp,82297,65395,Cash
EXP114709,5/31/2024,IT,Internet,Quick Supplies,123775,63170,UPI
EXP122022,7/6/2024,Administration,Salary,ABC Pvt Ltd,185498,104885,UPI
EXP118825,6/23/2024,Sales,Software,Tech Solutions,114882,130055,Bank Transfer
EXP118664,6/20/2024,HR,Marketing Campaign,Bright Media,268328,263520,Cash
EXP108028,10/7/2024,Operation,Consulting,ABC Pvt Ltd,57880,69581,UPI
EXP100196,5/27/2024,Finance,Maintenance,Data Corp,122055,105275,Cash
EXP113706,9/30/2024,Operation,Travel,Bright Media,38927,56483,UPI
EXP112859,8/22/2024,Finance,Salary,CloudNet,91532,61769,Cash
EXP116110,9/28/2024,Administration,Salary,Bright Media,220526,167096,Bank Transfer
EXP112374,4/23/2025,Administration,Internet,CloudNet,92425,75208,Credit Card
EXP104036,6/5/2024,Sales,Marketing Campaign,Urban Services,272745,238683,UPI
EXP112099,5/25/2024,Operation,Software,Tech Solutions,283537,230801,UPI
EXP123217,10/10/2024,Finance,Travel,Urban Services,143461,74323,Cash
EXP116992,2/23/2025,Operation,Utilities,ABC Pvt Ltd,111840,90722,Cash
EXP101190,7/2/2024,Marketing,Utilities,Global Systems,264548,142063,Credit Card
EXP122341,6/21/2024,Sales,Salary,Quick Supplies,240975,234921,UPI
EXP102168,12/1/2025,Sales,Consulting,Prime Vendors,24735,31264,UPI
EXP114326,2/21/2024,Sales,Consulting,Urban Services,30288,26618,Bank Transfer
EXP105198,3/21/2025,Marketing,Marketing Campaign,Quick Supplies,125154,77408,UPI
EXP104343,1/1/2025,Operation,Internet,Global Systems,185534,195481,UPI
EXP101598,4/27/2024,Administration,Office Supplies,Bright Media,211140,115700,UPI
EXP106423,6/16/2024,Administration,Marketing Campaign,Global Systems,125928,75774,UPI
EXP116636,2/22/2025,Marketing,Internet,Urban Services,215500,128782,Credit Card
EXP110381,9/12/2024,Finance,Internet,Data Corp,65521,93574,UPI
EXP102374,9/3/2024,Operation,Salary,CloudNet,230495,160905,Bank Transfer
EXP103027,9/7/2024,IT,Software,Prime Vendors,161405,173449,Cash
EXP113250,5/10/2025,Operation,Consulting,Prime Vendors,80667,102628,Cash
EXP109570,3/19/2024,Administration,Training,Star Traders,228065,264100,Credit Card
EXP123646,2/21/2025,Operation,Travel,Bright Media,283677,294929,Bank Transfer
EXP108628,11/2/2024,Administration,Salary,CloudNet,284011,375296,UPI
EXP111212,8/29/2024,Sales,Software,ABC Pvt Ltd,219145,148527,Credit Card
EXP116502,10/10/2024,Sales,Office Supplies,Tech Solutions,35494,37729,Credit Card
EXP113540,9/27/2024,Marketing,Office Supplies,CloudNet,131988,168918,UPI
EXP110560,1/28/2025,Sales,Software,ABC Pvt Ltd,235663,340497,Bank Transfer
EXP107131,4/14/2025,Finance,Internet,Star Traders,203672,154871,UPI
EXP111828,2/28/2025,HR,Salary,Global Systems,192459,215292,Cash
EXP105183,10/10/2024,Operation,Software,Urban Services,176099,143118,Cash
EXP121766,3/5/2025,Administration,Consulting,Quick Supplies,127794,111444,UPI
EXP104569,2/23/2025,Sales,Marketing Campaign,Global Systems,42873,24214,Bank Transfer
EXP123443,7/31/2024,Marketing,Maintenance,Tech Solutions,92243,74795,UPI
EXP100323,2/1/2024,IT,Utilities,Bright Media,59232,64675,Cash
EXP107969,6/8/2024,Administration,Training,Bright Media,209823,209048,Cash
EXP106210,3/4/2025,Operation,Internet,Data Corp,279149,337493,UPI
EXP107484,1/28/2024,Finance,Internet,CloudNet,60216,70090,UPI
EXP113437,5/27/2024,Finance,Travel,Urban Services,142439,117007,UPI
EXP105859,8/11/2024,HR,Software,Data Corp,183556,178922,Bank Transfer
EXP104059,4/3/2024,Administration,Consulting,ABC Pvt Ltd,201744,255105,Bank Transfer
EXP101610,10/29/2024,Finance,Marketing Campaign,Urban Services,97159,92295,Bank Transfer
EXP122621,10/3/2025,Finance,Salary,ABC Pvt Ltd,42055,21221,Bank Transfer
EXP111924,6/22/2024,HR,Salary,Quick Supplies,100107,140591,Bank Transfer
EXP108928,5/21/2024,Operation,Training,Global Systems,166971,141319,Bank Transfer
EXP113495,8/21/2024,Operation,Consulting,Prime Vendors,76565,84644,Cash
EXP105437,9/26/2024,IT,Consulting,Prime Vendors,63316,84960,Cash
EXP114492,12/13/2024,Sales,Maintenance,Urban Services,104717,120209,Cash
EXP108195,5/30/2024,Marketing,Salary,Data Corp,292913,392316,Bank Transfer
EXP120987,10/5/2024,Administration,Internet,Tech Solutions,85878,113266,Credit Card
EXP112837,12/2/2024,Operation,Office Supplies,Urban Services,239824,185831,UPI
EXP121564,5/25/2024,IT,Software,Global Systems,74123,82116,Credit Card
EXP105001,11/29/2024,HR,Salary,Urban Services,40859,36493,Credit Card
EXP102166,6/30/2024,IT,Training,Bright Media,109556,121786,Credit Card
EXP102874,2/14/2025,Marketing,Office Supplies,Quick Supplies,278220,197886,Credit Card
EXP116219,9/10/2024,Operation,Consulting,Urban Services,217181,131309,UPI
EXP108094,1/9/2024,Administration,Office Supplies,Prime Vendors,238530,241550,Credit Card
EXP124479,9/10/2024,Operation,Travel,CloudNet,35549,41383,UPI
EXP108971,2/4/2025,Marketing,Marketing Campaign,Star Traders,222972,139002,Bank Transfer
EXP117007,8/6/2024,Sales,Utilities,Quick Supplies,223199,262558,Cash
EXP121138,9/1/2024,Finance,Internet,Bright Media,41114,20708,UPI
EXP108743,3/25/2024,IT,Consulting,Urban Services,171472,203767,Cash
EXP107335,3/30/2025,Sales,Utilities,Quick Supplies,81416,55866,Credit Card
EXP108023,9/4/2025,Operation,Travel,Bright Media,219931,272577,Credit Card
EXP105090,2/18/2025,Finance,Office Supplies,Urban Services,245786,232236,Cash
EXP120998,2/11/2024,Sales,Internet,ABC Pvt Ltd,266610,145628,Bank Transfer
EXP121948,7/19/2024,IT,Training,Urban Services,101857,134214,Credit Card
EXP124390,1/5/2025,Marketing,Maintenance,Bright Media,199576,181415,Bank Transfer
EXP105377,12/26/2024,IT,Training,Global Systems,293224,327160,Cash
EXP120594,7/5/2024,Finance,Marketing Campaign,Prime Vendors,236188,214011,Bank Transfer
EXP117614,11/17/2024,HR,Consulting,Prime Vendors,211335,184032,Bank Transfer
EXP106382,11/15/2024,Administration,Marketing Campaign,Bright Media,241529,301583,Bank Transfer
EXP112971,1/26/2025,Finance,Travel,Urban Services,220297,318493,Cash
EXP121796,12/6/2024,Sales,Travel,Tech Solutions,89491,87526,UPI
EXP115543,9/23/2024,Operation,Consulting,Tech Solutions,114890,168480,Bank Transfer
EXP111747,12/2/2024,Administration,Travel,Quick Supplies,174384,116447,Credit Card
EXP113137,1/5/2024,Marketing,Salary,Global Systems,134975,165810,Cash
EXP103942,2/23/2025,Sales,Salary,Prime Vendors,246193,351879,Bank Transfer
EXP121827,3/16/2025,Administration,Training,Quick Supplies,58331,85399,Cash
EXP114521,3/31/2025,Marketing,Software,Prime Vendors,34046,49415,Credit Card
EXP110199,5/2/2025,HR,Travel,Data Corp,143920,77121,UPI
EXP122723,3/26/2025,HR,Internet,Data Corp,88685,74190,UPI
EXP123612,9/4/2025,Finance,Salary,Prime Vendors,77982,57894,UPI
EXP109960,8/26/2024,HR,Maintenance,ABC Pvt Ltd,264498,143244,Cash
EXP107576,3/1/2024,Finance,Consulting,Bright Media,22373,20697,Credit Card
EXP116155,6/25/2024,Operation,Marketing Campaign,Urban Services,135284,112478,UPI
EXP104203,12/29/2024,Administration,Travel,Urban Services,153930,116258,UPI
EXP116772,8/23/2024,IT,Internet,ABC Pvt Ltd,188673,277506,Credit Card
EXP101336,5/11/2024,Administration,Utilities,Quick Supplies,294175,220034,Credit Card
EXP107912,1/14/2025,Administration,Office Supplies,Bright Media,268513,325412,Credit Card
EXP120457,12/27/2024,IT,Maintenance,ABC Pvt Ltd,210754,304063,UPI
EXP106087,3/27/2025,HR,Consulting,Star Traders,199234,225034,Credit Card
EXP100274,6/24/2024,Administration,Internet,Global Systems,94278,79978,Cash
EXP104821,2/4/2025,HR,Utilities,Data Corp,116774,123283,Cash
EXP105673,7/6/2024,Administration,Training,Tech Solutions,23554,25542,UPI
EXP119340,2/23/2025,Sales,Travel,Prime Vendors,209244,209380,Credit Card
EXP110359,8/30/2024,HR,Utilities,Quick Supplies,143970,75245,Cash
EXP117219,2/22/2025,IT,Training,ABC Pvt Ltd,296960,268912,Credit Card
EXP119072,11/29/2024,Sales,Travel,Quick Supplies,207114,290601,Cash
EXP104489,1/17/2025,Operation,Maintenance,Data Corp,103312,145310,UPI
EXP112953,1/8/2025,HR,Office Supplies,Star Traders,96084,117161,Cash
EXP105221,7/3/2025,Operation,Salary,Urban Services,221948,143402,UPI
EXP114684,4/22/2024,Administration,Office Supplies,CloudNet,143073,150120,Cash
EXP104344,6/17/2024,IT,Travel,Global Systems,179466,91015,Cash
EXP117925,4/7/2024,Marketing,Software,ABC Pvt Ltd,94650,87580,Credit Card
EXP112730,5/24/2024,Sales,Consulting,Prime Vendors,278278,156385,Bank Transfer
EXP100423,1/28/2024,Administration,Salary,Bright Media,33249,29288,Cash
EXP109124,11/28/2024,IT,Marketing Campaign,Tech Solutions,208161,170175,UPI
EXP118473,9/8/2024,Operation,Office Supplies,Prime Vendors,176907,263887,Bank Transfer
EXP123706,2/7/2024,Operation,Travel,ABC Pvt Ltd,297623,208507,Credit Card
EXP107438,4/6/2024,IT,Marketing Campaign,CloudNet,280052,180223,UPI
EXP110506,7/18/2024,Administration,Salary,Tech Solutions,71665,45845,Bank Transfer
EXP106165,4/13/2024,Sales,Software,Bright Media,184659,208946,Bank Transfer
EXP122450,1/8/2025,Sales,Consulting,Data Corp,137403,140873,Cash
EXP112333,10/23/2024,HR,Internet,Tech Solutions,66284,76884,Cash
EXP106933,4/26/2024,IT,Training,Data Corp,208050,301094,Credit Card
EXP104165,8/10/2024,HR,Training,Global Systems,35954,48197,Bank Transfer
EXP124902,3/9/2025,HR,Internet,Urban Services,264693,180470,Cash
EXP101661,1/16/2025,Administration,Maintenance,Data Corp,55075,81298,Credit Card
